2025-12-16 17:38:51,772 | INFO | modules.evaluation.regression_metrics | Regression Metrics: {'MSE': 123.22818733405991, 'RMSE': np.float64(11.100819219051354), 'MAE': 6.495336298459934, 'R2_Score': 0.8113735959655565}
2025-12-16 23:17:07,539 | INFO | __main__ | Starting real-time prediction engine
2025-12-16 23:17:09,769 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 23:17:09,771 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 23:17:09,771 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 23:17:09,781 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 23:17:14,845 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.5982971191406
2025-12-16 23:17:30,081 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.625
2025-12-16 23:17:39,851 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 23:17:39,851 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 23:17:39,851 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 23:17:39,851 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 23:17:45,245 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.69000244140625
2025-12-16 23:18:00,496 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.7200012207031
2025-12-16 23:18:09,899 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 23:18:09,899 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 23:18:09,899 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 23:18:09,903 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 23:18:15,645 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.7799987792969
2025-12-16 23:18:30,789 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.80999755859375
2025-12-16 23:18:39,960 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 23:18:39,960 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 23:18:39,960 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 23:18:39,960 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 23:18:45,938 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.7668151855469
2025-12-16 23:19:01,259 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 272.70001220703125
2025-12-16 23:19:08,716 | INFO | __main__ | Starting full pipeline execution
2025-12-16 23:19:08,716 | INFO | modules.ingestion.yahoo_fetcher | Fetching Yahoo Finance data for AAPL for period 5y
2025-12-16 23:19:09,967 | INFO | modules.preprocessing.data_cleaner | Starting data cleaning process
2025-12-16 23:19:09,978 | INFO | modules.preprocessing.data_cleaner | Data cleaning completed
2025-12-16 23:19:09,978 | INFO | modules.preprocessing.missing_value_handler | Handling missing values
2025-12-16 23:19:09,986 | INFO | modules.preprocessing.missing_value_handler | Missing value handling completed
2025-12-16 23:19:09,987 | INFO | modules.feature_engineering.technical_indicators | Adding technical indicators
2025-12-16 23:19:09,998 | INFO | modules.feature_engineering.technical_indicators | Technical indicators added successfully
2025-12-16 23:19:09,998 | INFO | modules.feature_engineering.trend_features | Adding trend features
